Cor_SCNA_Pro.correlation	Cor_SCNA_Pro.cor.pvalue	Cor_SCNA_mRNA.correlation	Cor_SCNA_mRNA.cor.pvalue
TCEB3	0.157584938155727	0.0830046062323117	0.186242184792243	0.0399813064415522
PITHD1	0.155045584894907	0.0881510416490367	0.609727616373448	9.07189825852149e-14
GALE	0.32378209017373	0.00027478475622977	0.341061230857645	0.000120903435983383
LYPLA2	0.516805765460513	1.10138771520526e-09	0.427639171076447	9.96649351695233e-07
HMGCL	0.253885110029066	0.00477589437588036	0.293929252577995	0.00101609017949658
FUCA1	0.120625366300201	0.185678146706537	0.159061193702273	0.0801250232143955
SRSF10	0.0238289794806097	0.794457168140558	0.275894877957457	0.00209856079506565
MYOM3	-0.051465369090794	0.717097430538946	0.157598076829355	0.0829786175969413
RCAN3	0.285190897507988	0.0014525376773224	0.410054393882256	2.99921520800216e-06
SRRM1	0.189020988168388	0.0370558723479542	0.514930339293134	1.29459763898499e-09
CLIC4	0.224805515760698	0.0127941841887747	0.30215739139279	0.000882876716112814
RUNX3	0.0622141374307337	0.496021255234637	0.227693435294926	0.0116593893350729
SYF2	0.223425274588258	0.0133698269687854	0.424416257626797	1.10521369109136e-06
TMEM57	0.0699127766987288	0.444152896264805	0.286858781811899	0.00135794285785566
LDLRAP1	0.420777670062103	1.39460626203672e-06	0.451633327280363	1.77581313255028e-07
MAN1C1	0.162727306809552	0.226498945019417	0.253528806591589	0.00483722370854109
SEPN1	0.137460104141608	0.131083452131838	0.348015980331072	8.56888558753664e-05
MTFR1L	0.224801300295903	0.0127959087856408	0.605679786475326	1.83968903542308e-13
STMN1	0.0151635043752951	0.868336609852714	0.12410300234294	0.173222388371178
PAFAH2	0.27607747586901	0.00208369804393539	0.417949124857322	1.6678586350133e-06
ZNF593	0.0361582600936128	0.692548488019948	0.150785832554202	0.0973514618288371
CNKSR1	0.146311602848945	0.107814532615096	0.178084369293099	0.049707388640138
CEP85	0.171416068501854	0.059044813025118	0.180068918784609	0.0481112809667498
SH3BGRL3	0.269553204055542	0.00267822514960138	0.302489287212138	0.000708154945346004
DHDDS	0.082475690446995	0.419454088780094	0.282193677775848	0.00179236310494997
HMGN2	-0.0214100316304428	0.814927614467207	0.262747878378572	0.00345761735744352
RPS6KA1	0.49852899998243	5.10783448469718e-09	0.472531851971825	3.89989918673672e-08
ARID1A	0.164058908839063	0.0709666772682769	0.363046005488264	3.95966672596857e-05
SFN	0.176912910824347	0.0512529508787903	0.165793018046201	0.0679943801735691
GPN2	0.0966525538256828	0.32199827847083	0.333699730178751	0.000172549598300421
NUDC	0.338655642386923	0.000135938609114442	0.37887517057294	1.68280744315277e-05
SLC9A1	0.183287705018825	0.0433014297693378	0.261340116837315	0.00364228137222219
WDTC1	0.212044462330076	0.0190410786534079	0.27343246371229	0.00230858667645998
TMEM222	0.146823547169222	0.133130845801135	0.224646315043607	0.0128594562801229
SYTL1	0.237680049767711	0.00838588744114913	0.152419597799073	0.0937370244161794
MAP3K6	0.368664927974428	2.93735792825065e-05	0.311572618084139	0.000476946219788153
FCN3	0.0682410294336476	0.455148935335086	0.202445798916445	0.0253336592074567
WASF2	0.29911874794076	0.000817410417480077	0.620199619154507	2.57529004115767e-14
AHDC1	0.481680619671707	1.94412005118592e-08	0.38035723760749	1.54966990647607e-05
FGR	0.153869725819693	0.0906186461883249	0.13920475742179	0.126216400507328
IFI6	0.11257385765501	0.332937821948737	0.120309494411761	0.186841082345944
FAM76A	0.176074540623462	0.0523832701113505	0.295621892207895	0.000946899676671372
STX12	0.315639842673491	0.000397941355811715	0.343743725417914	0.00010597042653865
THEMIS2	0.193912570170464	0.0323432257224027	0.244435084902556	0.00713306754973092
RPA2	0.314484750877466	0.000419053204656706	0.47955507322649	2.28957476963676e-08
SMPDL3B	0.290188720175423	0.0011856665557702	0.199158860246391	0.0278625423390499
EYA3	0.225897370118327	0.0123542758730218	0.487762491719415	1.21000739489896e-08
DNAJC8	0.418737475695454	1.58698236566268e-06	0.550316566693663	5.15968106616506e-11
ATPIF1	0.182463304314917	0.0442678758152923	0.410276324660868	2.6879783528831e-06
MED18	0.204785888596042	0.0236551360162905	0.342682670766663	0.000111658901242908
PHACTR4	0.313091021777239	0.000445899993459708	0.328804083978186	0.000217532252409541
RCC1	0.306438954178233	0.000597254426855347	0.256032028719396	0.00442084005734277
TAF12	-0.0165864854928253	0.856108409289684	0.467519192929555	5.66227159849641e-08
GMEB1	0.166504244188631	0.0668049285241784	0.294163594709459	0.0010062430070348
YTHDF2	0.162563170751937	0.0736141138468518	0.542655981916654	1.07027000176517e-10
EPB41	0.0739106318347584	0.418473218700156	0.0981428286384808	0.28216783515128
SRSF4	0.0816510888570396	0.37128148083581	0.578364211326534	3.02765160885003e-12
MECR	0.234348230808042	0.00937414642908804	0.357603003167139	5.26037815083693e-05
PTPRU	-0.134299924730307	0.310530816944421	-0.0111192271912988	0.903251218183861
PUM1	0.420670372655485	1.40414597258828e-06	0.444080735691193	2.99718848655346e-07
ZCCHC17	0.336582067397805	0.000150276002195892	0.368181010944059	3.01454792866119e-05
FABP3	-0.0671361218347421	0.462498830748236	0.0255345452583013	0.789281133668296
TINAGL1	0.219801755940299	0.0149898506678098	0.0563263047989045	0.537743255348951
PEF1	0.281703000232199	0.00167000677735266	0.465809798638348	6.42130861004717e-08
COL16A1	-0.00777447221139064	0.932270039829415	0.266626892894424	0.00299152537760798
SPOCD1	-0.0862070112445366	0.419145244752107	0.251227528951752	0.00525056471642332
PTP4A2	0.159988059494035	0.0783584168271766	0.214075097517274	0.0178984311176163
KHDRBS1	0.212684992970334	0.0186740343883851	0.264011848635699	0.00343254286618116
TXLNA	0.441906330880596	3.4765488614387e-07	0.641480051250025	1.71492564800647e-15
LCK	0.125891098236413	0.219182347718894	-0.0393222272220518	0.667178634509293
HDAC1	0.0984423857485904	0.280694358293104	0.388310793897956	9.88898290694304e-06
MARCKSL1	0.218787679473131	0.0154727544761846	0.353402726904682	7.00340577405763e-05
BSDC1	0.421583604212115	1.32489329131024e-06	0.379572216240808	1.61890312345361e-05
ZBTB8OS	0.361482643662624	4.2985173716645e-05	0.475551982112892	3.54501711417649e-08
RBBP4	0.301208585330006	0.000747984432858083	0.282106150653925	0.00164344054250604
SYNC	-0.0139079678944414	0.887474710802137	0.187369282012585	0.403733158914215
KIAA1522	0.214289721724089	0.0177812006805009	0.32087406223769	0.000314016654546682
YARS	0.541369507563351	1.20761203578177e-10	0.535291934568142	2.1216146938302e-10
S100PBP	0.215640122987192	0.0669139587249815	0.520062310580856	1.14677397340267e-09
AK2	0.334450600942582	0.000166469163242959	0.529241345031648	3.67733448064317e-10
ZNF362	0.230194993224052	0.0107486941082997	0.367862196336753	3.06643803347276e-05
PHC2	0.395564762558586	6.49771612543441e-06	0.551120181277481	4.7743664062207e-11
SMIM12	0.332342286776205	0.00018406839264973	0.553035626464204	3.96470868673288e-11
ZMYM6	-0.00470082409054315	0.96433031057405	0.254942835858518	0.00459790383104732
ZMYM1	0.183150717217811	0.0434607903167393	0.330967300387547	0.000208973959707432
SFPQ	-0.00320216752543552	0.972075693848294	0.245411166876829	0.00643899114571377
ZMYM4	0.502823740895083	3.59068513128937e-09	0.462679707816448	8.07035214953412e-08
KIAA0319L	0.14021929175883	0.123450760838305	0.248897412253272	0.00570090249013094
NCDN	0.230531298399974	0.0106311524328315	0.280912652682161	0.00172322302939449
TFAP2E	-0.116839796865556	0.251901241687699	0.457805406986348	1.89443762260656e-06
PSMB2	-0.00474490733610333	0.958632298891679	0.507575888038444	2.41730755800472e-09
CLSPN	0.151258112954909	0.289358240408774	0.251466899030121	0.00520614917512374
AGO4	0.0725656957048088	0.475356074995635	0.325339850099565	0.000255684991235194
AGO1	0.132700684695944	0.145091457886313	0.473534734363555	3.61694614982117e-08
AGO3	0.337643056988528	0.000142773046589242	0.415668922605781	1.92437670992221e-06
ADPRHL2	0.465022113341369	6.80296169445658e-08	0.620214610516532	2.57056515576102e-14
COL8A2	-0.135231299024059	0.149590337852434	0.100930482053167	0.268655305040919
TRAPPC3	0.230320902498943	0.0107045547508917	0.725105955808217	3.60375306946102e-21
MAP7D1	0.246378377020666	0.00622615465268327	0.510904396071491	2.13210715709513e-09
THRAP3	-0.00572516611882093	0.950096142214828	0.256906732073189	0.00428308913164955
EVA1B	-0.0455996703255641	0.682286128499084	0.217241684648471	0.0220040166160721
OSCP1	-0.00615623169734908	0.94634412734435	0.123495791826958	0.175351576554479
MRPS15	0.0531065239913407	0.561272567203692	0.655061882371439	2.71564083006556e-16
ZC3H12A	0.0380212473433697	0.677566946432581	0.264005734952629	0.00329978217014281
MEAF6	0.1962448830115	0.0302811652045076	0.215167070670627	0.0173088639016184
SNIP1	0.572834531984249	5.4094803681444e-12	0.187816657227594	0.0383008743138443
DNALI1	0.0360340340242069	0.772202894265518	0.30646925500223	0.00671145320958706
GNL2	0.363178837003712	3.93206091176605e-05	0.609451859091946	9.37189677981168e-14
C1orf109	0.132229994249552	0.194314057043486	0.45515623103242	1.38508115820256e-07
CDCA8	0.396590611819512	4.02982628697617e-05	0.469697544184462	4.8187690919258e-08
C1orf122	0.226306514547249	0.0121928718250399	0.555881453202673	3.00162740385238e-11
YRDC	0.573631115840077	4.97892754692944e-12	0.718577098865295	1.55008355160955e-19
MTF1	0.48742648444081	1.2424255705496e-08	0.498090164571337	5.29368014224783e-09
INPP5B	0.419042744506636	1.55667635721813e-06	0.477543868319767	2.67006747487951e-08
FHL3	0.0984198144772764	0.280805202948634	0.572139832282442	5.81419340639218e-12
RRAGC	0.370266906099241	2.69485308103451e-05	0.580239881916523	2.48046726989474e-12
MYCBP	0.231074785904053	0.0104435838147042	0.489435453980332	1.06031177959581e-08
NDUFS5	-0.123285687751531	0.176092779602098	0.670625251870055	2.91656811554962e-17
MACF1	0.327195896531663	0.000234534903656724	0.195898772629918	0.0305799355904673
PABPC4	0.217770981679624	0.0159704213484017	0.628694125344641	8.95360696613511e-15
PPIE	0.248429628041803	0.00579534964224407	0.643646321514527	1.28610737756255e-15
TRIT1	0.466709474921208	6.01044678458475e-08	0.642102932970667	1.57911792063437e-15
CAP1	0.251146844047797	0.00526561192956174	0.50114636892709	4.12295553160181e-09
PPT1	0.218127008516932	0.0157945898726615	0.28606669707106	0.00140214359266591
RLF	0.396443929544108	6.1710891772762e-06	0.406515396518868	3.38192596161764e-06
ZMPSTE24	0.148098974702315	0.103533934445162	0.316646212322245	0.000425895061345589
COL9A2	0.112951418170256	0.237869970918156	0.207995106595295	0.0220622528986553
SMAP2	0.0352667492625599	0.699760403326649	0.141364740471995	0.120384654218719
NFYC	0.0365949815168423	0.689025580326734	0.62653988540211	1.17404779462217e-14
CTPS1	0.57996563529942	2.55402935059739e-12	0.590373384594737	8.26292113712491e-13
HIVEP3	-0.159377129697977	0.102704556812604	0.140319630834115	0.123179793462686
FOXJ3	0.382834199958295	1.34904373184953e-05	0.543338776108314	1.00363051191655e-10
PPCS	0.131115263390198	0.150000679739432	0.17065250003762	0.0602002378334704
PPIH	0.622374912015353	1.97085532206797e-14	0.604016462989068	2.22780672816509e-13
YBX1	0.338741175895678	0.000135375465685466	0.692968204648709	9.26590394076063e-19
C1orf50	0.5878375178048	1.09183195629553e-12	0.691184325276524	1.23440618710557e-18
ZNF691	0.208177209647704	0.0213921243485132	0.563460829940674	1.41204172737918e-11
SLC2A1	0.356944121179199	5.44250342625268e-05	0.384360794822089	1.23786130421094e-05
EBNA1BP2	0.27247135133442	0.00239559300681574	0.65667887962079	2.1669368894235e-16
CDC20	0.450384970992209	1.93798078074568e-07	0.461900475059238	8.53987472256952e-08
ELOVL1	0.264024717766782	0.00329745068052466	0.621528889651114	2.1874782408291e-14
MED8	0.0916715763596863	0.315263720965572	0.384832759396715	1.2052740417132e-05
SZT2	0.00368881630969117	0.967834023970572	0.273159040081104	0.00233304325848576
HYI	0.000400063961129153	0.996510574114291	0.354421447666751	0.00036839547676296
PTPRF	0.186938466434225	0.0392306999179898	0.452560426776254	1.6638483703619e-07
KDM4A	0.597407049127598	3.76602296934577e-13	0.540115254145771	1.35779875154682e-10
IPO13	0.317083019257824	0.000372943380945154	0.523493784618298	6.13924733903331e-10
DPH2	0.496657160284453	5.94687110349633e-09	0.460394987221992	9.52197621097437e-08
B4GALT2	-0.0931388438157414	0.429943639132932	0.560310728101723	2.34715559688754e-11
ERI3	0.465571915626963	6.53435539831388e-08	0.647338903241335	7.83319410028046e-16
RNF220	0.304151399611242	0.000659365030863607	0.435175436605292	5.46750383032751e-07
KIF2C	0.457254175293212	1.19296242987342e-07	0.452024729227758	2.77279707819553e-07
RPS8	0.284363049674777	0.00150168228267656	0.494402095524549	7.13407208524116e-09
UROD	0.433035692048926	6.30113961464931e-07	0.461415930542627	8.84488237924046e-08
HPDL	0.458154207688803	0.000931773612363734	0.455986383901885	2.69180933423966e-07
MUTYH	0.173147888846781	0.11979722609163	0.396569964241306	0.000188075668321609
TOE1	0.499838185869958	4.58989531325538e-09	0.485971397290726	2.78691155317914e-08
TESK2	-0.0520783451608035	0.608693217510187	0.148201763826903	0.110789403788149
MMACHC	0.44074599359549	9.51967595905079e-05	-1	NA
PRDX1	0.439286393812942	4.15137989381559e-07	0.560698478241105	1.86281264101132e-11
AKR1A1	0.19109579513636	0.0349908135380304	0.497334277366774	5.62912516905193e-09
NASP	0.586374833909058	1.2808104722789e-12	0.548178918199056	6.3365180550595e-11
GPBP1L1	0.365372497040107	3.50145425140892e-05	0.428904477872992	8.26457151969792e-07
MAST2	0.0759073603454487	0.405977675620826	0.214670967749214	0.0175745970236535
TSPAN1	-0.0107648154926311	0.912790368217429	-0.106212034231964	0.248260190386007
POMGNT1	0.18387962082881	0.0699171190663586	0.382884251158888	1.34525397738797e-05
LRRC41	0.130789413159936	0.151024986828658	0.585215145544447	1.45280265951258e-12
UQCRH	0.00971474800245315	0.91542306358243	0.646516068229684	8.75345002952424e-16
NSUN4	0.139173951456622	0.126301117399993	0.106678806174102	0.244175676705068
FAAH	-0.119992206747091	0.188014569703399	0.0409164333737692	0.655889383525505
MKNK1	0.286908170457216	0.00135522931420805	0.310444289530967	0.000501292891806076
MOB3C	0.221575664638153	0.0454363783111698	0.246684184143175	0.00616017485424198
ATPAF1	0.183527488380581	0.043023658738144	0.176377096129896	0.0519730039454178
EFCAB14	0.0727725962231615	0.439581925988643	0.134925726189224	0.138407909163377
CYP4X1	-0.0474678597861206	0.603624730965237	-0.191532209583431	0.0345690291617004
CYP4Z1	-0.101595179547547	0.337941229931819	-0.226383048929907	0.0141132191998461
CMPK1	0.245766604618286	0.00636003668968078	0.445385491190843	2.74053047593206e-07
BEND5	-0.051851689272952	0.585458063433783	0.338504173627238	0.000136941212566019
FAF1	0.466091241642968	6.28997653714135e-08	0.52309109878171	6.36142317647806e-10
CDKN2C	0.0147673276595921	0.871746773243604	0.121772483085647	0.181499289699695
RNF11	0.157686385895949	0.173696001740805	0.101965951277401	0.263749750973653
TTC39A	-0.203445789262546	0.024604316528556	-0.234592566143557	0.00959811901957691
EPS15	0.271635882362104	0.002473621519052	0.270105208861249	0.00262255904333717
OSBPL9	0.372717928379921	2.3599133712963e-05	0.260975565044299	0.00523966948665425
RAB3B	0.0663891156638398	0.511651072044402	0.0974960383999364	0.287391591520987
TXNDC12	0.565951980760412	1.09744398258698e-11	0.464443729324668	7.09691610744181e-08
KTI12	0.451935850429539	1.73851015648036e-07	0.464443729324668	7.09691610744181e-08
BTF3L4	0.410836219725748	2.5970113373566e-06	0.448952121038789	2.14153152998865e-07
ZFYVE9	0.152525325308001	0.0935068314267914	0.270247015607451	0.00271892351299935
CC2D1B	0.433454522947229	6.12899020826111e-07	0.337256614051254	0.000145464557185325
ORC1	0.25766870819946	0.0136702771280761	0.42306020331553	1.48004837724717e-06
PRPF38A	0.116697743426436	0.200517735915172	0.588275538995656	1.04070261999422e-12
ZCCHC11	0.227072643219697	0.011895596824591	0.272767796932394	0.00236844581474255
GPX7	0.350709842431677	7.48282083800726e-05	0.448472332888319	2.21413568668054e-07
ZYG11B	0.0933490059347414	0.30645246752567	0.158134217805942	0.0819236585218027
ECHDC2	-0.01128013394456	0.901858106553878	0.164675142454581	0.0710797829342229
SCP2	0.131958443985331	0.147374443138339	0.133883311590828	0.141509338227872
PODN	-0.0727563609732324	0.425797471016294	-0.0474094801767805	0.604070549960163
CPT2	0.114017237193426	0.211124506867712	0.260336529758189	0.00392811252486309
